PassengerId	Pclass	Age	Fare
324	2	22	29
325	3		69.55
326	1	36	135.6333
327	3	61	6.2375
328	2	36	13
329	3	31	20.525
330	1	16	57.9792
331	3		23.25
332	1	45.5	28.5
333	1	38	153.4625
334	3	16	18
335	1		133.65
336	3		7.8958
337	1	29	66.6
338	1	41	134.5
339	3	45	8.05
340	1	45	35.5
341	2	2	26
342	1	24	263
343	2	28	13
344	2	25	13
345	2	36	13
346	2	24	13
347	2	40	13
348	3		16.1
349	3	3	15.9
350	3	42	8.6625
351	3	23	9.225
352	1		35
353	3	15	7.2292
354	3	25	17.8
355	3		7.225
356	3	28	9.5
357	1	22	55
358	2	38	13
359	3		7.8792
360	3		7.8792
361	3	40	27.9
362	2	29	27.7208
363	3	45	14.4542
364	3	35	7.05
365	3		15.5
366	3	30	7.25
367	1	60	75.25
368	3		7.2292
369	3		7.75
370	1	24	69.3
371	1	25	55.4417
372	3	18	6.4958
373	3	19	8.05
374	1	22	135.6333
375	3	3	21.075
376	1		82.1708
377	3	22	7.25
378	1	27	211.5
379	3	20	4.0125
380	3	19	7.775
381	1	42	227.525
382	3	1	15.7417
383	3	32	7.925
384	1	35	52
385	3		7.8958
386	2	18	73.5
387	3	1	46.9
388	2	36	13
389	3		7.7292
390	2	17	12
391	1	36	120
392	3	21	7.7958
393	3	28	7.925
394	1	23	113.275
395	3	24	16.7
396	3	22	7.7958
397	3	31	7.8542
398	2	46	26
399	2	23	10.5
400	2	28	12.65
401	3	39	7.925
402	3	26	8.05
403	3	21	9.825
404	3	28	15.85
405	3	20	8.6625
406	2	34	21
407	3	51	7.75
408	2	3	18.75
409	3	21	7.775
410	3		25.4667
411	3		7.8958
412	3		6.8583
413	1	33	90
414	2		0
415	3	44	7.925
416	3		8.05
417	2	34	32.5
418	2	18	13
419	2	30	13
420	3	10	24.15
421	3		7.8958
422	3	21	7.7333
423	3	29	7.875
424	3	28	14.4
425	3	18	20.2125
426	3		7.25
427	2	28	26
428	2	19	26
429	3		7.75
430	3	32	8.05
431	1	28	26.55
432	3		16.1
433	2	42	26
434	3	17	7.125
435	1	50	55.9
436	1	14	120
437	3	21	34.375
438	2	24	18.75
439	1	64	263
440	2	31	10.5
441	2	45	26.25
442	3	20	9.5
443	3	25	7.775
444	2	28	13
445	3		8.1125
446	1	4	81.8583
447	2	13	19.5
448	1	34	26.55
449	3	5	19.2583
450	1	52	30.5
451	2	36	27.75
452	3		19.9667
453	1	30	27.75
454	1	49	89.1042
455	3		8.05
456	3	29	7.8958
457	1	65	26.55
458	1		51.8625
459	2	50	10.5
460	3		7.75
461	1	48	26.55
462	3	34	8.05
463	1	47	38.5
464	2	48	13
465	3		8.05
466	3	38	7.05
467	2		0
468	1	56	26.55
469	3		7.725
470	3	0.75	19.2583
471	3		7.25
472	3	38	8.6625
473	2	33	27.75
474	2	23	13.7917
475	3	22	9.8375
476	1		52
477	2	34	21
478	3	29	7.0458
479	3	22	7.5208
480	3	2	12.2875
481	3	9	46.9
482	2		0
483	3	50	8.05
484	3	63	9.5875
485	1	25	91.0792
486	3		25.4667
487	1	35	90
488	1	58	29.7
489	3	30	8.05
490	3	9	15.9
491	3		19.9667
492	3	21	7.25
493	1	55	30.5
494	1	71	49.5042
495	3	21	8.05
496	3		14.4583
497	1	54	78.2667
498	3		15.1
499	1	25	151.55
500	3	24	7.7958
501	3	17	8.6625
502	3	21	7.75
503	3		7.6292
504	3	37	9.5875
505	1	16	86.5
506	1	18	108.9
507	2	33	26
508	1		26.55
509	3	28	22.525
510	3	26	56.4958
511	3	29	7.75
512	3		8.05
513	1	36	26.2875
514	1	54	59.4
515	3	24	7.4958
516	1	47	34.0208
517	2	34	10.5
518	3		24.15
519	2	36	26
520	3	32	7.8958
521	1	30	93.5
522	3	22	7.8958
523	3		7.225
524	1	44	57.9792
525	3		7.2292
526	3	40.5	7.75
527	2	50	10.5
528	1		221.7792
529	3	39	7.925
530	2	23	11.5
531	2	2	26
532	3		7.2292
533	3	17	7.2292
534	3		22.3583
535	3	30	8.6625
536	2	7	26.25
537	1	45	26.55
538	1	30	106.425
539	3		14.5
540	1	22	49.5
541	1	36	71
542	3	9	31.275
543	3	11	31.275
544	2	32	26
545	1	50	106.425
546	1	64	26
547	2	19	26
548	2		13.8625
549	3	33	20.525
550	2	8	36.75
551	1	17	110.8833
552	2	27	26
553	3		7.8292
554	3	22	7.225
555	3	22	7.775
556	1	62	26.55
557	1	48	39.6
558	1		227.525
559	1	39	79.65
560	3	36	17.4
561	3		7.75
562	3	40	7.8958
563	2	28	13.5
564	3		8.05
565	3		8.05
566	3	24	24.15
567	3	19	7.8958
568	3	29	21.075
569	3		7.2292
570	3	32	7.8542
571	2	62	10.5
572	1	53	51.4792
573	1	36	26.3875
574	3		7.75
575	3	16	8.05
576	3	19	14.5
577	2	34	13
578	1	39	55.9
579	3		14.4583
580	3	32	7.925
581	2	25	30
582	1	39	110.8833
583	2	54	26
584	1	36	40.125
585	3		8.7125
586	1	18	79.65
587	2	47	15
588	1	60	79.2
589	3	22	8.05
590	3		8.05
591	3	35	7.125
592	1	52	78.2667
593	3	47	7.25
594	3		7.75
595	2	37	26
596	3	36	24.15
597	2		33
598	3	49	0
599	3		7.225
600	1	49	56.9292
601	2	24	27
602	3		7.8958
603	1		42.4
604	3	44	8.05
605	1	35	26.55
606	3	36	15.55
607	3	30	7.8958
608	1	27	30.5
609	2	22	41.5792
610	1	40	153.4625
611	3	39	31.275
612	3		7.05
613	3		15.5
614	3		7.75
615	3	35	8.05
616	2	24	65
617	3	34	14.4
618	3	26	16.1
619	2	4	39
620	2	26	10.5
621	3	27	14.4542
622	1	42	52.5542
623	3	20	15.7417
624	3	21	7.8542
625	3	21	16.1
626	1	61	32.3208
627	2	57	12.35
628	1	21	77.9583
629	3	26	7.8958
630	3		7.7333
631	1	80	30
632	3	51	7.0542
633	1	32	30.5
634	1		0
635	3	9	27.9
636	2	28	13
637	3	32	7.925
638	2	31	26.25
639	3	41	39.6875
640	3		16.1
641	3	20	7.8542
642	1	24	69.3
643	3	2	27.9
644	3		56.4958
645	3	0.75	19.2583
646	1	48	76.7292
647	3	19	7.8958
648	1	56	35.5
649	3		7.55
650	3	23	7.55
651	3		7.8958
652	2	18	23
653	3	21	8.4333
654	3		7.8292
655	3	18	6.75
656	2	24	73.5
657	3		7.8958
658	3	32	15.5
659	2	23	13
660	1	58	113.275
661	1	50	133.65
662	3	40	7.225
663	1	47	25.5875
664	3	36	7.4958
665	3	20	7.925
666	2	32	73.5
667	2	25	13
668	3		7.775
669	3	43	8.05
670	1		52
671	2	40	39
672	1	31	52
673	2	70	10.5
674	2	31	13
675	2		0
676	3	18	7.775
677	3	24.5	8.05
678	3	18	9.8417
679	3	43	46.9
680	1	36	512.3292
681	3		8.1375
682	1	27	76.7292
683	3	20	9.225
684	3	14	46.9
685	2	60	39
686	2	25	41.5792
687	3	14	39.6875
688	3	19	10.1708
689	3	18	7.7958
690	1	15	211.3375
691	1	31	57
692	3	4	13.4167
693	3		56.4958
694	3	25	7.225
695	1	60	26.55
696	2	52	13.5
697	3	44	8.05
698	3		7.7333
699	1	49	110.8833
700	3	42	7.65
701	1	18	227.525
702	1	35	26.2875
703	3	18	14.4542
704	3	25	7.7417
705	3	26	7.8542
706	2	39	26
707	2	45	13.5
708	1	42	26.2875
709	1	22	151.55
710	3		15.2458
711	1	24	49.5042
712	1		26.55
713	1	48	52
714	3	29	9.4833
715	2	52	13
716	3	19	7.65
717	1	38	227.525
718	2	27	10.5
719	3		15.5
720	3	33	7.775
721	2	6	33
722	3	17	7.0542
723	2	34	13
724	2	50	13
725	1	27	53.1
726	3	20	8.6625
727	2	30	21
728	3		7.7375
729	2	25	26
730	3	25	7.925
731	1	29	211.3375
732	3	11	18.7875
733	2		0
734	2	23	13
735	2	23	13
736	3	28.5	16.1
737	3	48	34.375
738	1	35	512.3292
739	3		7.8958
740	3		7.8958
741	1		30
742	1	36	78.85
743	1	21	262.375
744	3	24	16.1
745	3	31	7.925
746	1	70	71
747	3	16	20.25
748	2	30	13
749	1	19	53.1
750	3	31	7.75
751	2	4	23
752	3	6	12.475
753	3	33	9.5
754	3	23	7.8958
755	2	48	65
756	2	0.67	14.5
757	3	28	7.7958
758	2	18	11.5
759	3	34	8.05
760	1	33	86.5
761	3		14.5
762	3	41	7.125
763	3	20	7.2292
764	1	36	120
765	3	16	7.775
766	1	51	77.9583
767	1		39.6
768	3	30.5	7.75
769	3		24.15
770	3	32	8.3625
771	3	24	9.5
772	3	48	7.8542
773	2	57	10.5
774	3		7.225
775	2	54	23
776	3	18	7.75
777	3		7.75
778	3	5	12.475
779	3		7.7375
780	1	43	211.3375
781	3	13	7.2292
782	1	17	57
783	1	29	30
784	3		23.45
785	3	25	7.05
786	3	25	7.25
787	3	18	7.4958
788	3	8	29.125
789	3	1	20.575
790	1	46	79.2
791	3		7.75
792	2	16	26
793	3		69.55
794	1		30.6958
795	3	25	7.8958
796	2	39	13
797	1	49	25.9292
798	3	31	8.6833
799	3	30	7.2292
800	3	30	24.15
801	2	34	13
802	2	31	26.25
803	1	11	120
804	3	0.42	8.5167
805	3	27	6.975
806	3	31	7.775
807	1	39	0
808	3	18	7.775
809	2	39	13
810	1	33	53.1
811	3	26	7.8875
812	3	39	24.15
813	2	35	10.5
814	3	6	31.275
815	3	30.5	8.05
816	1		0
817	3	23	7.925
818	2	31	37.0042
819	3	43	6.45
820	3	10	27.9
821	1	52	93.5
822	3	27	8.6625
823	1	38	0
824	3	27	12.475
825	3	2	39.6875
826	3		6.95
827	3		56.4958
828	2	1	37.0042
829	3		7.75
830	1	62	80
831	3	15	14.4542
832	2	0.83	18.75
833	3		7.2292
834	3	23	7.8542
835	3	18	8.3
836	1	39	83.1583
837	3	21	8.6625
838	3		8.05
839	3	32	56.4958
840	1		29.7
841	3	20	7.925
842	2	16	10.5
843	1	30	31
844	3	34.5	6.4375
845	3	17	8.6625
846	3	42	7.55
847	3		69.55
848	3	35	7.8958
849	2	28	33
850	1		89.1042
851	3	4	31.275
852	3	74	7.775
853	3	9	15.2458
854	1	16	39.4
855	2	44	26
856	3	18	9.35
857	1	45	164.8667
858	1	51	26.55
859	3	24	19.2583
860	3		7.2292
861	3	41	14.1083
862	2	21	11.5
863	1	48	25.9292
864	3		69.55
865	2	24	13
866	2	42	13
867	2	27	13.8583
868	1	31	50.4958
869	3		9.5
870	3	4	11.1333
871	3	26	7.8958
872	1	47	52.5542
873	1	33	5
874	3	47	9
875	2	28	24
876	3	15	7.225
877	3	20	9.8458
878	3	19	7.8958
879	3		7.8958
880	1	56	83.1583
881	2	25	26
882	3	33	7.8958
883	3	22	10.5167
884	2	28	10.5
885	3	25	7.05
886	3	39	29.125
887	2	27	13
888	1	19	30
889	3		23.45
890	1	26	30
891	3	32	7.75
